"AdministrativeDivision","Country","GeoPosition","ConfirmedCases","RecoveredCases","Deaths"
"Entity[""AdministrativeDivision"", {""Hubei"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{30.9756, 112.2707}]","TemporalData[TimeSeries, {{{444, 444, 549, 761, 1058, 1423, 3554, 3554, 4903, 5806, 7153, 11177, 13522, 16678, 19665, 22112, 24953, 27100, 29631, 31728, 33366, 33366, 48206, 54406, 56249, 58182, 59989, 61682, 62031, 62442, 62662, 64084, 64084, 64287, 64786, 65187, 65596, 65914, 66337, 66907, 67103, 67217, 67332, 67466, 67592, 67666, 67707, 67743, 67760, 67773, 67781}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{28, 28, 31, 32, 42, 45, 80, 88, 90, 141, 168, 295, 386, 522, 633, 817, 1115, 1439, 1795, 2222, 2639, 2686, 3459, 4774, 5623, 6639, 7862, 9128, 10337, 11788, 11881, 15299, 15343, 16748, 18971, 20969, 23383, 26403, 28993, 31536, 33934, 36208, 38557, 40592, 42033, 43500, 45235, 46488, 47743, 49134, 50318}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{17, 17, 24, 40, 52, 76, 125, 125, 162, 204, 249, 350, 414, 479, 549, 618, 699, 780, 871, 974, 1068, 1068, 1310, 1457, 1596, 1696, 1789, 1921, 2029, 2144, 2144, 2346, 2346, 2495, 2563, 2615, 2641, 2682, 2727, 2761, 2803, 2835, 2871, 2902, 2931, 2959, 2986, 3008, 3024, 3046, 3056}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Italy""]","GeoPosition[{43, 12}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 20, 62, 155, 229, 322, 453, 655, 888, 1128, 1694, 2036, 2502, 3089, 3858, 4636, 5883, 7375, 9172, 10149, 12462, 12462}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 1, 1, 3, 45, 46, 46, 83, 149, 160, 276, 414, 523, 589, 622, 724, 724, 1045, 1045}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 7, 10, 12, 17, 21, 29, 34, 52, 79, 107, 148, 197, 233, 366, 463, 631, 827, 827}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Iran""]","GeoPosition[{32, 53}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 18, 28, 43, 61, 95, 139, 245, 388, 593, 978, 1501, 2336, 2922, 3513, 4747, 5823, 6566, 7161, 8042, 9000, 10075}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 49, 73, 123, 175, 291, 291, 552, 739, 913, 1669, 2134, 2394, 2731, 2959, 2959}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 4, 5, 8, 12, 16, 19, 26, 34, 43, 54, 66, 77, 92, 107, 124, 145, 194, 237, 291, 354, 429}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""SouthKorea""]","GeoPosition[{36, 128}]","TemporalData[TimeSeries, {{{1, 1, 2, 2, 3, 4, 4, 4, 4, 11, 12, 15, 15, 16, 19, 23, 24, 24, 25, 27, 28, 28, 28, 28, 28, 29, 30, 31, 31, 104, 204, 433, 602, 833, 977, 1261, 1766, 2337, 3150, 3736, 4335, 5186, 5621, 6088, 6593, 7041, 7314, 7478, 7513, 7755, 7869}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 3, 3, 7, 7, 7, 9, 9, 10, 12, 12, 16, 16, 16, 18, 18, 22, 22, 22, 22, 27, 30, 30, 30, 41, 41, 135, 135, 118, 118, 247, 288, 333}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 6, 8, 10, 12, 13, 13, 16, 17, 28, 28, 35, 35, 42, 44, 50, 53, 54, 60, 66}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""France""]","GeoPosition[{46.2276, 2.2137}]","TemporalData[TimeSeries, {{{0, 0, 2, 3, 3, 3, 4, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 18, 38, 57, 100, 130, 191, 204, 285, 377, 653, 949, 1126, 1209, 1784, 2281, 2281}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 11, 11, 11, 11, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4, 4, 6, 9, 11, 19, 19, 33, 48, 48}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Spain""]","GeoPosition[{40, -4}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 6, 13, 15, 32, 45, 84, 120, 165, 222, 259, 400, 500, 673, 1073, 1695, 2277, 2277}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 30, 30, 32, 32, 183, 183}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 5, 10, 17, 28, 35, 54, 55}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Missing[""NotAvailable""]","Entity[""Country"", ""Germany""]","GeoPosition[{51, 9}]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 1, 4, 4, 4, 5, 8, 10, 12, 12, 12, 12, 13, 13, 14, 14, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17, 27, 46, 48, 79, 130, 159, 196, 262, 482, 670, 799, 1040, 1176, 1457, 1908, 2078}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 12, 12, 12, 14, 14, 14, 14, 14, 15, 16, 16, 16, 16, 16, 16, 16, 16, 17, 18, 18, 18, 18, 25, 25}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 3}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Guangdong"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{23.3417, 113.4244}]","TemporalData[TimeSeries, {{{26, 32, 53, 78, 111, 151, 207, 277, 354, 436, 535, 632, 725, 813, 895, 970, 1034, 1095, 1131, 1159, 1177, 1219, 1241, 1261, 1294, 1316, 1322, 1328, 1331, 1332, 1333, 1339, 1342, 1345, 1347, 1347, 1347, 1348, 1349, 1349, 1350, 1350, 1350, 1351, 1352, 1352, 1352, 1352, 1353, 1356, 1356}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 2, 2, 2, 2, 4, 4, 5, 10, 11, 14, 15, 21, 30, 49, 69, 88, 112, 141, 167, 212, 275, 314, 362, 410, 465, 524, 565, 606, 642, 690, 728, 755, 786, 822, 851, 890, 935, 983, 1016, 1059, 1101, 1133, 1181, 1216, 1237, 1256, 1260, 1274, 1282, 1289}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 4, 4, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Henan"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{33.882, 113.614}]","TemporalData[TimeSeries, {{{5, 5, 9, 32, 83, 128, 168, 206, 278, 352, 422, 493, 566, 675, 764, 851, 914, 981, 1033, 1073, 1105, 1135, 1169, 1184, 1212, 1231, 1246, 1257, 1262, 1265, 1267, 1270, 1271, 1271, 1271, 1271, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1272, 1273, 1273}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 10, 16, 27, 47, 56, 86, 116, 153, 191, 218, 246, 296, 357, 391, 440, 509, 522, 573, 637, 736, 830, 868, 943, 1002, 1033, 1068, 1112, 1170, 1198, 1205, 1231, 1234, 1239, 1244, 1244, 1247, 1247, 1247, 1249, 1249}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 6, 6, 7, 8, 10, 11, 13, 13, 16, 19, 19, 19, 19, 19, 19, 19, 19, 19, 20, 20, 21, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Zhejiang"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{29.1832, 120.0934}]","TemporalData[TimeSeries, {{{10, 27, 43, 62, 104, 128, 173, 296, 428, 538, 599, 661, 724, 829, 895, 954, 1006, 1048, 1075, 1092, 1117, 1131, 1145, 1155, 1162, 1167, 1171, 1172, 1174, 1175, 1203, 1205, 1205, 1205, 1205, 1205, 1205, 1205, 1205, 1205, 1206, 1213, 1213, 1215, 1215, 1215, 1215, 1215, 1215, 1215, 1215}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 1, 1, 1, 1, 3, 3, 4, 14, 21, 32, 43, 62, 78, 94, 123, 175, 201, 242, 270, 321, 360, 403, 428, 456, 507, 535, 604, 633, 679, 719, 760, 782, 808, 867, 932, 975, 1016, 1046, 1069, 1093, 1114, 1124, 1147, 1154, 1161, 1176, 1191, 1195, 1197}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Hunan"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{27.6104, 111.7088}]","TemporalData[TimeSeries, {{{4, 9, 24, 43, 69, 100, 143, 221, 277, 332, 389, 463, 521, 593, 661, 711, 772, 803, 838, 879, 912, 946, 968, 988, 1001, 1004, 1006, 1007, 1008, 1010, 1011, 1013, 1016, 1016, 1016, 1016, 1017, 1017, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8, 16, 22, 31, 54, 81, 112, 156, 186, 208, 247, 304, 339, 364, 425, 464, 498, 527, 561, 634, 661, 692, 714, 731, 768, 783, 804, 830, 846, 866, 887, 906, 916, 938, 955, 960, 968, 979, 990, 995, 999}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
"Entity[""AdministrativeDivision"", {""Anhui"", ""China""}]","Entity[""Country"", ""China""]","GeoPosition[{31.8257, 117.2264}]","TemporalData[TimeSeries, {{{1, 9, 15, 39, 60, 70, 106, 152, 200, 237, 297, 340, 408, 480, 530, 591, 665, 733, 779, 830, 860, 889, 910, 934, 950, 962, 973, 982, 986, 987, 988, 989, 989, 989, 989, 989, 989, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990, 990}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 2, 2, 3, 5, 7, 14, 20, 23, 34, 47, 59, 72, 88, 105, 127, 157, 193, 221, 255, 280, 361, 413, 474, 539, 597, 637, 663, 712, 744, 792, 821, 868, 873, 917, 936, 956, 970, 979, 979, 984, 984, 984, 984, 984}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]","TemporalData[TimeSeries, {{{0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 4, 4, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6}}, {TemporalData`DateSpecification[{2020, 1, 22, 0, 0, 0.}, {2020, 3, 12, 0, 0, 0.}, {1, ""Day""}]}, 1, {""Discrete"", 1}, {""Discrete"", 1}, 1, {ValueDimensions -> 1, DateFunction -> Automatic, ResamplingMethod -> {""Interpolation"", InterpolationOrder -> 0}}}, True, 12.]"
